,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2419,MLS Listing,Single Family Residential,Portland,OR,97229.0,685000.0,4.0,2.5,CEDAR MILL,3000.0,7840.0,2005.0,34.0,228.0,0.0,Active,RMLS,18197963,45.55756457637623,-122.76742182362378,"{'spatialReference': {'wkid': 4326}, 'x': -122.76742182362378, 'y': 45.55756457637623}"
2423,MLS Listing,Single Family Residential,Tigard,OR,97224.0,685900.0,4.0,3.5,MADELINE HEIGHTS,3180.0,6969.0,2018.0,106.0,216.0,0.0,Active,RMLS,18138336,45.41383803793847,-122.81106196206152,"{'spatialReference': {'wkid': 4326}, 'x': -122.81106196206152, 'y': 45.41383803793847}"
2424,MLS Listing,Single Family Residential,Portland,OR,97229.0,686400.0,4.0,3.0,Iron Ridge,2448.0,6969.0,2018.0,35.0,280.0,34.0,Active,RMLS,18100325,45.5413543189224,-122.7923506810776,"{'spatialReference': {'wkid': 4326}, 'x': -122.7923506810776, 'y': 45.5413543189224}"
2425,MLS Listing,Single Family Residential,Tigard,OR,97224.0,687900.0,4.0,3.5,MADELINE HEIGHTS,3180.0,6969.0,2018.0,59.0,216.0,0.0,Active,RMLS,18047136,45.39850068021832,-122.82639931978169,"{'spatialReference': {'wkid': 4326}, 'x': -122.82639931978169, 'y': 45.39850068021832}"
2430,MLS Listing,Single Family Residential,Milwaukie,OR,97267.0,689000.0,3.0,2.5,JOSEPHINE ESTATES,2948.0,7840.0,2016.0,67.0,234.0,22.0,Active,RMLS,18073472,45.40841008652972,-122.61057111347029,"{'spatialReference': {'wkid': 4326}, 'x': -122.61057111347029, 'y': 45.40841008652972}"
2433,MLS Listing,Townhouse,Portland,OR,97211.0,689900.0,4.0,3.5,KING / ALBERTA ARTS,2007.0,1306.0,2018.0,50.0,344.0,0.0,Active,RMLS,18115891,45.546322556666006,-122.672289143334,"{'spatialReference': {'wkid': 4326}, 'x': -122.672289143334, 'y': 45.546322556666006}"
2434,MLS Listing,Single Family Residential,Portland,OR,97229.0,689900.0,4.0,3.0,Iron Ridge Heights,2448.0,6969.0,2018.0,34.0,282.0,34.0,Active,RMLS,18486871,45.52888548818768,-122.80481951181233,"{'spatialReference': {'wkid': 4326}, 'x': -122.80481951181233, 'y': 45.52888548818768}"
2437,MLS Listing,Single Family Residential,Portland,OR,97229.0,689900.0,4.0,3.0,THOMPSON WOODS - WHH,2557.0,6969.0,2018.0,12.0,270.0,83.0,Active,RMLS,18537072,45.55871820976191,-122.79615179023808,"{'spatialReference': {'wkid': 4326}, 'x': -122.79615179023808, 'y': 45.55871820976191}"
2439,New Construction Home,Single Family Residential,Portland,OR,97229.0,689950.0,4.0,3.0,Highlands at North Bethany,2612.0,6969.0,2017.0,296.0,264.0,0.0,Active,NewHomeFeed,611481,45.59384494759202,-122.83064840691796,"{'spatialReference': {'wkid': 4326}, 'x': -122.83064840691796, 'y': 45.59384494759202}"
2440,MLS Listing,Single Family Residential,Portland,OR,97229.0,689990.0,4.0,2.5,BETHANY CREEK FALLS,2909.0,6969.0,2018.0,27.0,237.0,100.0,Active,RMLS,18664192,45.54188500033669,-122.8557409996633,"{'spatialReference': {'wkid': 4326}, 'x': -122.8557409996633, 'y': 45.54188500033669}"
2442,MLS Listing,Single Family Residential,Portland,OR,97217.0,690000.0,3.0,3.0,ARBOR LODGE,3797.0,3920.0,2012.0,45.0,182.0,0.0,Active,RMLS,18392231,45.55721978320297,-122.70410361679704,"{'spatialReference': {'wkid': 4326}, 'x': -122.70410361679704, 'y': 45.55721978320297}"
2443,MLS Listing,Single Family Residential,Portland,OR,97229.0,690000.0,5.0,3.5,NW Washington Co or Sauvie Island,3376.0,5227.0,2016.0,62.0,204.0,69.0,Active,RMLS,18318834,45.54830020369127,-122.78652769630874,"{'spatialReference': {'wkid': 4326}, 'x': -122.78652769630874, 'y': 45.54830020369127}"
2446,MLS Listing,Single Family Residential,Portland,OR,97229.0,694988.0,4.0,3.0,THOMPSON WOODS - WHH,2557.0,6969.0,2018.0,81.0,272.0,83.0,Active,RMLS,18373029,45.56341665265855,-122.79151434734146,"{'spatialReference': {'wkid': 4326}, 'x': -122.79151434734146, 'y': 45.56341665265855}"
2455,MLS Listing,Single Family Residential,Tigard,OR,97223.0,697800.0,5.0,4.0,Oak Woods,3173.0,12196.0,2018.0,135.0,220.0,42.0,Active,RMLS,18207743,45.46686112951027,-122.72780637048972,"{'spatialReference': {'wkid': 4326}, 'x': -122.72780637048972, 'y': 45.46686112951027}"
2459,MLS Listing,Townhouse,Portland,OR,97211.0,699000.0,5.0,3.5,ALBERTA ARTS / CONCORDIA,2630.0,6969.0,2018.0,69.0,266.0,0.0,Active,RMLS,18310301,45.57030480152177,-122.62853359847824,"{'spatialReference': {'wkid': 4326}, 'x': -122.62853359847824, 'y': 45.57030480152177}"
2464,MLS Listing,Single Family Residential,Portland,OR,97206.0,699000.0,4.0,2.5,Portland Southeast,2658.0,4356.0,2018.0,108.0,263.0,0.0,Active,RMLS,18032546,45.506961127530815,-122.6163768724692,"{'spatialReference': {'wkid': 4326}, 'x': -122.6163768724692, 'y': 45.506961127530815}"
2466,MLS Listing,Multi-Family (2-4 Unit),Portland,OR,97266.0,699000.0,6.0,6.0,LENTS,3088.0,6969.0,2018.0,34.0,226.0,0.0,Active,RMLS,18034065,45.48724308195642,-122.56738991804356,"{'spatialReference': {'wkid': 4326}, 'x': -122.56738991804356, 'y': 45.48724308195642}"
2469,MLS Listing,Single Family Residential,Portland,OR,97211.0,699000.0,5.0,3.5,Woodlawn,3356.0,4791.0,2017.0,14.0,208.0,0.0,Active,RMLS,18698609,45.56751080231244,-122.66154379768756,"{'spatialReference': {'wkid': 4326}, 'x': -122.66154379768756, 'y': 45.56751080231244}"
