,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE
940,MLS Listing,Single Family Residential,Portland,OR,97230.0,349999.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",1830.0,2613.0,2015.0,51.0,191.0,0.0,Active,RMLS,18678932,45.515431133316326,-122.48769916668364
942,MLS Listing,Single Family Residential,Portland,OR,97220.0,350000.0,3.0,2.0,RAILWAY ADD,1525.0,4791.0,1977.0,49.0,230.0,0.0,Active,RMLS,18455284,45.52374064977529,-122.59286565022472
943,MLS Listing,Single Family Residential,Portland,OR,97220.0,350000.0,2.0,1.0,Portland Northeast,1270.0,4791.0,1926.0,1.0,276.0,0.0,Active,RMLS,18187435,45.55451316715153,-122.57733913284846
944,MLS Listing,Single Family Residential,Portland,OR,97206.0,350000.0,3.0,1.0,MT SCOTT-ARLETA,1734.0,4791.0,1910.0,16.0,202.0,0.0,Active,RMLS,18571825,45.47405619598622,-122.59306390401376
945,MLS Listing,Single Family Residential,Portland,OR,97206.0,350000.0,3.0,1.5,Portland Southeast,1066.0,5662.0,1962.0,7.0,328.0,0.0,Active,RMLS,18287087,45.473344697310544,-122.58699560268946
946,MLS Listing,Single Family Residential,Portland,OR,97216.0,350000.0,3.0,2.0,Portland Southeast,1274.0,4791.0,1964.0,104.0,275.0,0.0,Active,RMLS,18567051,45.52757311057675,-122.55720198942323
947,MLS Listing,Single Family Residential,Portland,OR,97230.0,350000.0,3.0,1.5,Shalimar,2247.0,6969.0,1967.0,32.0,156.0,0.0,Active,RMLS,18059308,45.50264922420417,-122.50995787579583
948,MLS Listing,Condo/Co-op,Portland,OR,97229.0,350000.0,2.0,2.5,EDGEWOOD/FOREST HEIGHTS,1459.0,6969.0,2002.0,77.0,240.0,348.0,Active,RMLS,18123493,45.57614796664301,-122.74613983335698
949,MLS Listing,Condo/Co-op,Portland,OR,97201.0,350000.0,2.0,2.0,"Portland West, Raleigh Hills",1319.0,6969.0,1973.0,50.0,265.0,849.0,Active,RMLS,18136629,45.52798631533811,-122.6650528846619
950,MLS Listing,Single Family Residential,Portland,OR,97216.0,350000.0,3.0,1.0,Portland Southeast,1818.0,9583.0,1923.0,89.0,193.0,0.0,Active,RMLS,18061953,45.510349869835736,-122.56521983016428
951,MLS Listing,Single Family Residential,Portland,OR,97214.0,350000.0,2.0,1.0,Portland Southeast,1251.0,1742.0,1878.0,33.0,280.0,0.0,Active,RMLS,18011332,45.50880564383232,-122.66049055616767
952,MLS Listing,Single Family Residential,Portland,OR,97230.0,350000.0,3.0,1.5,Portland Northeast,1593.0,12196.0,1956.0,24.0,220.0,0.0,Active,RMLS,18688593,45.537482120486125,-122.52360297951388
953,MLS Listing,Townhouse,Portland,OR,97266.0,350000.0,6.0,3.5,Portland Southeast,1920.0,871.0,2005.0,55.0,182.0,0.0,Active,RMLS,18122009,45.51202849772064,-122.56544650227936
954,MLS Listing,Single Family Residential,Portland,OR,97219.0,350000.0,3.0,2.0,WEST PORTLAND PARK,1317.0,6969.0,1959.0,13.0,266.0,0.0,Active,RMLS,18548538,45.45731685612487,-122.71698084387512
956,MLS Listing,Single Family Residential,Portland,OR,97211.0,350000.0,2.0,1.0,Portland Northeast,1800.0,6534.0,1948.0,70.0,194.0,0.0,Active,RMLS,18446319,45.583036913614585,-122.6381877863854
957,MLS Listing,Single Family Residential,Portland,OR,97216.0,354900.0,3.0,2.5,Portland Southeast,1429.0,6969.0,2018.0,2.0,248.0,0.0,Active,RMLS,18386470,45.51805899541528,-122.53127320458472
958,MLS Listing,Single Family Residential,Portland,OR,97216.0,354900.0,3.0,2.5,Portland Southeast,1429.0,6969.0,2018.0,2.0,248.0,0.0,Active,RMLS,18102857,45.502093988051286,-122.54734101194867
959,MLS Listing,Single Family Residential,Portland,OR,97216.0,354900.0,3.0,2.5,Portland Southeast,1429.0,6969.0,2018.0,2.0,248.0,0.0,Active,RMLS,18651504,45.5345892162078,-122.5145888837922
960,MLS Listing,Single Family Residential,Portland,OR,97266.0,354900.0,3.0,2.5,Portland Southeast,1516.0,6098.0,2004.0,35.0,234.0,0.0,Active,RMLS,18687293,45.5110734834606,-122.5418775165394
961,MLS Listing,Single Family Residential,Portland,OR,97220.0,354900.0,3.0,2.0,Portland Northeast,1615.0,6969.0,1994.0,100.0,220.0,0.0,Active,RMLS,18565761,45.54605456893009,-122.5431893310699
962,MLS Listing,Single Family Residential,Portland,OR,97230.0,355000.0,3.0,2.0,Portland Northeast,2280.0,10454.0,1955.0,161.0,156.0,0.0,Active,RMLS,18501692,45.55273188503389,-122.46006101496612
